"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","cp","profundidade_maxima","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,1,12120301,"arvore_cp_0.02_profundidade_3",0.02,3,0.7625,0.783783783783784,0.744186046511628,0.725,0.753246753246753,0.526482821092095,0.813010685103708,0.184079362750691,0.57594680524632,0.763984915147706,29,32,11,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,2,12120302,"arvore_cp_0.02_profundidade_3",0.02,3,0.740740740740741,0.648648648648649,0.818181818181818,0.75,0.695652173913043,0.475678325265102,0.733722358722359,0.207449505229064,0.638296339293916,0.733415233415234,24,36,8,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,3,12120303,"arvore_cp_0.02_profundidade_3",0.02,3,0.765432098765432,0.648648648648649,0.863636363636364,0.8,0.716417910447761,0.528436898518777,0.788083538083538,0.176926743114557,0.542126682632631,0.756142506142506,24,38,6,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,1,12120401,"arvore_cp_0.005_profundidade_5",0.005,5,0.725,0.783783783783784,0.674418604651163,0.674418604651163,0.725,0.458202388434947,0.80389692017599,0.19769275671665,0.603939728130001,0.729101194217473,29,29,14,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,2,12120402,"arvore_cp_0.005_profundidade_5",0.005,5,0.740740740740741,0.648648648648649,0.818181818181818,0.75,0.695652173913043,0.475678325265102,0.733722358722359,0.207449505229064,0.638296339293916,0.733415233415234,24,36,8,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,3,12120403,"arvore_cp_0.005_profundidade_5",0.005,5,0.765432098765432,0.702702702702703,0.818181818181818,0.764705882352941,0.732394366197183,0.525751190166268,0.80958230958231,0.173446514246547,0.534684220464737,0.76044226044226,26,36,8,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,1,12120501,"arvore_cp_0.01_profundidade_5",0.01,5,0.725,0.783783783783784,0.674418604651163,0.674418604651163,0.725,0.458202388434947,0.80389692017599,0.19769275671665,0.603939728130001,0.729101194217473,29,29,14,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,2,12120502,"arvore_cp_0.01_profundidade_5",0.01,5,0.740740740740741,0.648648648648649,0.818181818181818,0.75,0.695652173913043,0.475678325265102,0.733722358722359,0.207449505229064,0.638296339293916,0.733415233415234,24,36,8,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,3,12120503,"arvore_cp_0.01_profundidade_5",0.01,5,0.765432098765432,0.702702702702703,0.818181818181818,0.764705882352941,0.732394366197183,0.525751190166268,0.80958230958231,0.173446514246547,0.534684220464737,0.76044226044226,26,36,8,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,1,12120601,"arvore_cp_0.02_profundidade_5",0.02,5,0.725,0.783783783783784,0.674418604651163,0.674418604651163,0.725,0.458202388434947,0.80389692017599,0.19769275671665,0.603939728130001,0.729101194217473,29,29,14,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,2,12120602,"arvore_cp_0.02_profundidade_5",0.02,5,0.740740740740741,0.648648648648649,0.818181818181818,0.75,0.695652173913043,0.475678325265102,0.733722358722359,0.207449505229064,0.638296339293916,0.733415233415234,24,36,8,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,2,3,12120603,"arvore_cp_0.02_profundidade_5",0.02,5,0.765432098765432,0.648648648648649,0.863636363636364,0.8,0.716417910447761,0.528436898518777,0.788083538083538,0.176926743114557,0.542126682632631,0.756142506142506,24,38,6,13,0,0
