"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","custo","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,"svm_custo_0.1",0.1,0.798353909465021,0.795400663821716,0.801444679351656,0.772863247863248,0.78334349386981,0.596103299772551,0.890012801273511,0.136038636931312,0.427342040477174,0.798422671586686,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,"svm_custo_10",10,0.790123456790123,0.705784732100522,0.862226920366455,0.814271749755621,0.756030299443721,0.578128259082708,0.870020961208232,0.149203541607923,0.463054307817734,0.784005826233488,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,"svm_custo_1",1,0.847222222222222,0.828828828828829,0.863636363636364,0.86150512214342,0.83419629267232,0.708240467582466,0.91905224463364,0.124143252935442,0.403493519031789,0.846232596232596,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,"svm_custo_0.1",0.1,0.847222222222222,0.810810810810811,0.87861169837914,0.86090863782201,0.830890570616598,0.698360560625363,0.919356989124431,0.120900332218337,0.382079413980819,0.844711254594976,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,"svm_custo_10",10,0.822427983539095,0.810810810810811,0.832804792107118,0.816396179790289,0.808088563403943,0.651291246979069,0.92261394586976,0.1199924272022,0.380943868475811,0.821807801458964,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,"svm_custo_1",1,0.847736625514403,0.795637743006164,0.893587033121917,0.870777370777371,0.826793530110041,0.699676817423529,0.925175704245472,0.11597485108818,0.375421530333808,0.84461238806404,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,"svm_custo_0.1",0.1,0.839506172839506,0.795874822190612,0.878259337561663,0.852574002574003,0.817869817869818,0.682968992270701,0.913921961351582,0.120518239712593,0.382698736940879,0.837067079876137,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,1,"svm_custo_10",10,0.831275720164609,0.76932195353248,0.886011275546159,0.862067363530778,0.803927553927554,0.670878492240512,0.905992339284873,0.128895004193288,0.414096492804982,0.82766661453932,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,"svm_custo_10",10,0.855504115226337,0.792792792792793,0.908562367864693,0.886067817440366,0.832198233259204,0.714745908885372,0.91463344951717,0.116884223157744,0.383181787559179,0.850677580328743,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,"svm_custo_0.1",0.1,0.838991769547325,0.792792792792793,0.877906976744186,0.845635958539184,0.817162851812328,0.676134103866979,0.910505113993486,0.11408975465256,0.368941488939579,0.835349884768489,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,2,"svm_custo_1",1,0.822530864197531,0.783783783783784,0.855355884425652,0.822067363530778,0.799347280690564,0.644974759444213,0.902629373559606,0.122797424323839,0.395988776098569,0.819569834104718,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,3,"svm_custo_0.1",0.1,0.805812757201646,0.747747747747748,0.854474982381959,0.818416927899687,0.778066378066378,0.611967982832316,0.89915814334419,0.127664787454031,0.402581312896933,0.801111365064853,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,3,"svm_custo_1",1,0.805761316872428,0.747747747747748,0.854474982381959,0.817230148883375,0.778929420738547,0.610492729628121,0.883230482067691,0.13506544131911,0.428492090175384,0.801111365064853,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,3,"svm_custo_10",10,0.805761316872428,0.765765765765766,0.839323467230444,0.803647333059098,0.783211550001765,0.609247411283725,0.879183094299373,0.142090212320329,0.453861677822695,0.802544616498105,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,4,"svm_custo_0.1",0.1,0.810699588477366,0.774774774774775,0.840909090909091,0.813143631436314,0.790139572597148,0.622845198369978,0.882473382473382,0.140267841138749,0.431428881625838,0.807841932841933,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,4,"svm_custo_1",1,0.798353909465021,0.765765765765766,0.825757575757576,0.792121950865584,0.776635706914345,0.595853046476787,0.887387387387387,0.136776534578158,0.421280715457645,0.795761670761671,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,4,"svm_custo_10",10,0.798353909465021,0.747747747747748,0.840909090909091,0.797531585007866,0.770134740330528,0.59397601765858,0.885749385749386,0.13808078501721,0.432688138949561,0.794328419328419,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,5,"svm_custo_1",1,0.80977366255144,0.774774774774775,0.839499647639183,0.804633204633205,0.789289289289289,0.616580542418767,0.89778679313563,0.127961540017492,0.398128756689527,0.807137211206979,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,5,"svm_custo_10",10,0.801440329218107,0.765765765765766,0.831747709654686,0.796122659590152,0.780208659363589,0.600233969100565,0.901386587433099,0.126075457127984,0.398507343277769,0.798756737710226,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",2,5,"svm_custo_0.1",0.1,0.797427983539095,0.756756756756757,0.831923890063425,0.797465437788018,0.774446142093201,0.594177994052297,0.899724777631754,0.13261381929968,0.41163012004532,0.794340323410091,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,1,"svm_custo_10",10,0.814197530864198,0.747747747747748,0.870331219168428,0.83015873015873,0.78579325594251,0.626269354763288,0.883220958802354,0.140767679824313,0.443440936589048,0.809039483458088,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,1,"svm_custo_0.1",0.1,0.810082304526749,0.756756756756757,0.855355884425652,0.817908817908818,0.785585585585586,0.61779108733119,0.897186827419386,0.133540287109779,0.422535829631249,0.806056320591204,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,1,"svm_custo_1",1,0.797685185185185,0.72972972972973,0.855003523608175,0.810782703886152,0.766396845163968,0.593205085179645,0.886277926975601,0.141985984157398,0.44635989109186,0.792366626668952,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,2,"svm_custo_0.1",0.1,0.851851851851852,0.830488383119962,0.870683579985906,0.856848689296507,0.837969605186248,0.710211581182041,0.924914566285435,0.114054478004109,0.362218299781522,0.850585981552934,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,2,"svm_custo_1",1,0.835390946502058,0.785680417259365,0.878435517970402,0.855670275327453,0.813239538239538,0.676474288633548,0.918984328715051,0.120434717004738,0.381393339318753,0.832057967614883,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,2,"svm_custo_10",10,0.831275720164609,0.794689426268374,0.863107822410148,0.838414148991793,0.811592101629384,0.666026964627982,0.913268615227,0.125636901963044,0.401813388297051,0.828898624339261,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,3,"svm_custo_10",10,0.834619341563786,0.738738738738739,0.916138125440451,0.882215007215007,0.803132133566916,0.671425012509463,0.897815362931642,0.129372468631593,0.414617290044875,0.827438432089595,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,3,"svm_custo_1",1,0.834670781893004,0.783783783783784,0.877554615926709,0.846250662427133,0.813102140720022,0.66763209494088,0.897458240481496,0.128960481079174,0.407026177926481,0.830669199855246,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,3,"svm_custo_0.1",0.1,0.834619341563786,0.792792792792793,0.87015503875969,0.838001867413632,0.81466117863957,0.66656601556956,0.898172485381788,0.128510758801428,0.408067821255557,0.831473915776241,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,4,"svm_custo_10",10,0.822170781893004,0.783783783783784,0.854651162790698,0.823148148148148,0.800128515933055,0.644389296725169,0.898724834771346,0.127104249693115,0.40529904020001,0.819217473287241,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,4,"svm_custo_1",1,0.818158436213992,0.774774774774775,0.855003523608175,0.820580264626176,0.79371829907882,0.636585924922481,0.907424337656896,0.121591059063019,0.389757892560285,0.814889149191475,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,4,"svm_custo_0.1",0.1,0.818261316872428,0.792792792792793,0.839675828047921,0.806111064624996,0.798966290233896,0.633738099222699,0.9047387768318,0.121570529439304,0.386780257153916,0.816234310420357,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,5,"svm_custo_1",1,0.806584362139918,0.756756756756757,0.848484848484849,0.821556579621096,0.783941424671134,0.615740320988476,0.884725634725635,0.137951497687269,0.435983524764839,0.802620802620803,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,5,"svm_custo_10",10,0.806584362139918,0.738738738738739,0.863636363636364,0.824051324051324,0.777713747863002,0.611696514717142,0.883087633087633,0.14151612375299,0.444223239488752,0.801187551187551,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",3,5,"svm_custo_0.1",0.1,0.786008230452675,0.72972972972973,0.833333333333333,0.793509127789047,0.757148954332053,0.571518626525835,0.86957411957412,0.149170255601572,0.47257039723296,0.781531531531532,3,FALSE
