"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","cp","profundidade_maxima","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,"arvore_cp_0.01_profundidade_3",0.01,3,0.835390946502058,0.81981981981982,0.848484848484849,0.827450980392157,0.821891734844133,0.671386288508308,0.875819000819001,0.12991762899352,0.572221047212879,0.834152334152334,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,"arvore_cp_0.02_profundidade_3",0.02,3,0.835390946502058,0.81981981981982,0.848484848484849,0.827450980392157,0.821891734844133,0.671386288508308,0.875819000819001,0.12991762899352,0.572221047212879,0.834152334152334,5,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,3,"arvore_cp_0.02_profundidade_5",0.02,5,0.831275720164609,0.837837837837838,0.825757575757576,0.806837606837607,0.820903348385027,0.663715773934244,0.879095004095004,0.130404626363634,0.572783639371014,0.831797706797707,6,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,"arvore_cp_0.005_profundidade_5",0.005,5,0.777777777777778,0.713608345187293,0.831395348837209,0.790497421103243,0.747018815083184,0.555052603470305,0.773015602115969,0.185126915600022,0.990825322633121,0.772501847012251,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,"arvore_cp_0.01_profundidade_5",0.01,5,0.777777777777778,0.713608345187293,0.831395348837209,0.790497421103243,0.747018815083184,0.555052603470305,0.773015602115969,0.185126915600022,0.990825322633121,0.772501847012251,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,"arvore_cp_0.005_profundidade_3",0.005,3,0.769547325102881,0.731626363205311,0.801092318534179,0.764923460045411,0.745164019110741,0.538299846164607,0.772401351501719,0.187406057003095,0.995727678206738,0.766359340869745,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,"arvore_cp_0.01_profundidade_3",0.01,3,0.769547325102881,0.731626363205311,0.801092318534179,0.764923460045411,0.745164019110741,0.538299846164607,0.772401351501719,0.187406057003095,0.995727678206738,0.766359340869745,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,"arvore_cp_0.02_profundidade_5",0.02,5,0.765432098765432,0.677572309151257,0.838971106412967,0.792719643325466,0.724069047790615,0.53313554772911,0.754383333483701,0.190342606676316,1.00157727507865,0.758271707782112,5,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,4,"arvore_cp_0.02_profundidade_3",0.02,3,0.757201646090535,0.695590327169274,0.808668076109937,0.767145682267633,0.722214251818172,0.516382790423412,0.75376908286945,0.192621748079389,1.00647963065227,0.752129201639606,6,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,5,"arvore_cp_0.005_profundidade_3",0.005,3,0.773045267489712,0.747747747747748,0.795102184637068,0.785828698553949,0.755373204663266,0.559146854408117,0.832142925166181,0.16884777837682,0.525677857835641,0.771424966192408,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,5,"arvore_cp_0.005_profundidade_5",0.005,5,0.773045267489712,0.747747747747748,0.795102184637068,0.785828698553949,0.755373204663266,0.559146854408117,0.832142925166181,0.16884777837682,0.525677857835641,0.771424966192408,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","decision_trees",1,5,"arvore_cp_0.01_profundidade_3",0.01,3,0.773045267489712,0.747747747747748,0.795102184637068,0.785828698553949,0.755373204663266,0.559146854408117,0.832142925166181,0.16884777837682,0.525677857835641,0.771424966192408,3,FALSE
