"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","laplace","usar_kernel","ajuste","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,2,11120202,"kde",1,TRUE,1,0.839506172839506,0.810810810810811,0.863636363636364,0.833333333333333,0.821917808219178,0.676110425245246,0.907248157248157,0.135029064313697,0.494540441797789,0.837223587223587,30,38,6,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,2,3,11120203,"kde",1,TRUE,1,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.918304668304668,0.119252627618988,0.488483067743912,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,1,11130101,"gaussiano",1,FALSE,NA,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.86977886977887,0.152790199697689,0.724359043673173,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,2,11130102,"gaussiano",1,FALSE,NA,0.851851851851852,0.810810810810811,0.886363636363636,0.857142857142857,0.833333333333333,0.701060863176399,0.917076167076167,0.114776112147496,0.441602018552811,0.848587223587224,30,39,5,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,3,11130103,"gaussiano",1,FALSE,NA,0.901234567901235,0.918918918918919,0.886363636363636,0.871794871794872,0.894736842105263,0.802820664607619,0.952088452088452,0.086691621041368,0.332868760661941,0.902641277641278,34,39,5,3,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,1,11130201,"kde",1,TRUE,1,0.753086419753086,0.702702702702703,0.795454545454545,0.742857142857143,0.722222222222222,0.500934237917233,0.840909090909091,0.180440001567698,0.729501407900994,0.749078624078624,26,35,9,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,2,11130202,"kde",1,TRUE,1,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.913390663390663,0.122030174012642,0.481830014392976,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,3,3,11130203,"kde",1,TRUE,1,0.901234567901235,0.918918918918919,0.886363636363636,0.871794871794872,0.894736842105263,0.802820664607619,0.94963144963145,0.0854758653925361,0.309429039429921,0.902641277641278,34,39,5,3,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,1,11140101,"gaussiano",1,FALSE,NA,0.851851851851852,0.756756756756757,0.931818181818182,0.903225806451613,0.823529411764706,0.705687725026608,0.923832923832924,0.131537242379459,0.470216160414179,0.844287469287469,28,41,3,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,2,11140102,"gaussiano",1,FALSE,NA,0.802469135802469,0.763157894736842,0.837209302325581,0.805555555555556,0.783783783783784,0.602955795688596,0.859241126070991,0.176418783919254,0.658642999072332,0.800183598531212,29,36,7,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,3,11140103,"gaussiano",1,FALSE,NA,0.839506172839506,0.837837837837838,0.840909090909091,0.815789473684211,0.826666666666667,0.677499613275602,0.898648648648649,0.129673126783742,0.70275545852716,0.839373464373464,31,37,7,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,1,11140201,"kde",1,TRUE,1,0.790123456790123,0.702702702702703,0.863636363636364,0.8125,0.753623188405797,0.577072915650558,0.886363636363636,0.151149789921761,0.524428370716404,0.783169533169533,26,38,6,11,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,2,11140202,"kde",1,TRUE,1,0.753086419753086,0.763157894736842,0.744186046511628,0.725,0.743589743589744,0.506415022664086,0.857405140758874,0.184603623953054,0.674014287599353,0.753671970624235,29,32,11,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,4,3,11140203,"kde",1,TRUE,1,0.851851851851852,0.864864864864865,0.840909090909091,0.82051282051282,0.842105263157895,0.703616280422696,0.900491400491401,0.126742510869523,0.58503393843478,0.852886977886978,32,37,7,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,1,11150101,"gaussiano",1,FALSE,NA,0.802469135802469,0.756756756756757,0.840909090909091,0.8,0.777777777777778,0.600997550546816,0.91953316953317,0.136441997163907,0.45214541133698,0.798832923832924,28,37,7,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,2,11150102,"gaussiano",1,FALSE,NA,0.8625,0.756756756756757,0.953488372093023,0.933333333333333,0.835820895522388,0.731472029813969,0.948460087994972,0.106812302115614,0.382740578421981,0.85512256442489,28,41,2,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,3,11150103,"gaussiano",1,FALSE,NA,0.814814814814815,0.864864864864865,0.772727272727273,0.761904761904762,0.810126582278481,0.635642906073767,0.891277641277641,0.158238351324853,0.756930884162511,0.818796068796069,32,34,10,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,1,11150201,"kde",1,TRUE,1,0.864197530864197,0.810810810810811,0.909090909090909,0.882352941176471,0.845070422535211,0.72662782414489,0.932432432432432,0.107292204817467,0.380476318351704,0.85995085995086,30,40,4,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,2,11150202,"kde",1,TRUE,1,0.825,0.675675675675676,0.953488372093023,0.925925925925926,0.78125,0.663405657391379,0.945945945945946,0.112358261420849,0.384894918854235,0.81458202388435,25,41,2,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",1,5,3,11150203,"kde",1,TRUE,1,0.765432098765432,0.837837837837838,0.704545454545455,0.704545454545455,0.765432098765432,0.542383292383292,0.875307125307125,0.18082618205828,0.754830148245922,0.771191646191646,31,31,13,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,1,11210101,"gaussiano",1,FALSE,NA,0.864197530864197,0.837837837837838,0.886363636363636,0.861111111111111,0.849315068493151,0.725987423828911,0.939189189189189,0.102138126958307,0.357966595787333,0.862100737100737,31,39,5,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,2,11210102,"gaussiano",1,FALSE,NA,0.839506172839506,0.864864864864865,0.818181818181818,0.8,0.831168831168831,0.680543143713934,0.896191646191646,0.143981312164432,0.744826151486476,0.841523341523342,32,36,8,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,3,11210103,"gaussiano",1,FALSE,NA,0.827160493827161,0.736842105263158,0.906976744186046,0.875,0.8,0.657228948951311,0.909424724602203,0.130552868290084,0.48628508105224,0.821909424724602,28,39,4,10,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,1,11210201,"kde",1,TRUE,1,0.864197530864197,0.864864864864865,0.863636363636364,0.842105263157895,0.853333333333333,0.72716248085508,0.936117936117936,0.104064102606722,0.370944663883163,0.864250614250614,32,38,6,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,2,11210202,"kde",1,TRUE,1,0.864197530864197,0.864864864864865,0.863636363636364,0.842105263157895,0.853333333333333,0.72716248085508,0.907248157248157,0.12453304852321,0.551086354130753,0.864250614250614,32,38,6,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,1,3,11210203,"kde",1,TRUE,1,0.802469135802469,0.684210526315789,0.906976744186046,0.866666666666667,0.764705882352941,0.610949600151018,0.907588739290086,0.140038056857738,0.500921326389457,0.795593635250918,26,39,4,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,1,11220101,"gaussiano",1,FALSE,NA,0.8625,0.891891891891892,0.837209302325581,0.825,0.857142857142857,0.727047705317655,0.900062853551226,0.129093266504519,0.599349054216078,0.864550597108737,33,36,7,4,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,2,11220102,"gaussiano",1,FALSE,NA,0.814814814814815,0.675675675675676,0.931818181818182,0.892857142857143,0.769230769230769,0.636285667644665,0.842751842751843,0.17158183952887,0.784744802475433,0.803746928746929,25,41,3,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,3,11220103,"gaussiano",1,FALSE,NA,0.864197530864197,0.864864864864865,0.863636363636364,0.842105263157895,0.853333333333333,0.72716248085508,0.928746928746929,0.111040648701402,0.426796145711655,0.864250614250614,32,38,6,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,1,11220201,"kde",1,TRUE,1,0.8375,0.837837837837838,0.837209302325581,0.815789473684211,0.826666666666667,0.673988906027626,0.910119421747329,0.1322799155199,0.522167373430994,0.83752357008171,31,36,7,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,2,11220202,"kde",1,TRUE,1,0.777777777777778,0.648648648648649,0.886363636363636,0.827586206896552,0.727272727272727,0.555891820719915,0.858722358722359,0.17250912801063,0.659857584063091,0.767506142506142,24,39,5,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,2,3,11220203,"kde",1,TRUE,1,0.864197530864197,0.864864864864865,0.863636363636364,0.842105263157895,0.853333333333333,0.72716248085508,0.935503685503685,0.108495176127108,0.380999772201632,0.864250614250614,32,38,6,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,1,11230101,"gaussiano",1,FALSE,NA,0.825,0.837837837837838,0.813953488372093,0.794871794871795,0.815789473684211,0.650158784319514,0.898805782526713,0.143176307527497,0.613195984107571,0.825895663104965,31,35,8,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,2,11230102,"gaussiano",1,FALSE,NA,0.851851851851852,0.810810810810811,0.886363636363636,0.857142857142857,0.833333333333333,0.701060863176399,0.917076167076167,0.132624840403203,0.483921801762402,0.848587223587224,30,39,5,7,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,3,11230103,"gaussiano",1,FALSE,NA,0.839506172839506,0.756756756756757,0.909090909090909,0.875,0.811594202898551,0.678467506036014,0.877764127764128,0.144918649563625,0.592068295798526,0.832923832923833,28,40,4,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,1,11230201,"kde",1,TRUE,1,0.8125,0.837837837837838,0.790697674418605,0.775,0.805194805194805,0.626765263204875,0.901948460087995,0.142251881203897,0.528725571546425,0.814267756128221,31,34,9,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,2,11230202,"kde",1,TRUE,1,0.790123456790123,0.675675675675676,0.886363636363636,0.833333333333333,0.746268656716418,0.579759906648298,0.892506142506142,0.166641072318811,0.578641741513068,0.781019656019656,25,39,5,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,3,3,11230203,"kde",1,TRUE,1,0.851851851851852,0.783783783783784,0.909090909090909,0.878787878787879,0.828571428571429,0.702432036668345,0.873464373464373,0.146754424023432,0.579946143157408,0.846437346437346,29,40,4,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","naive_bayes",2,4,1,11240101,"gaussiano",1,FALSE,NA,0.901234567901235,0.918918918918919,0.886363636363636,0.871794871794872,0.894736842105263,0.802820664607619,0.924447174447175,0.100171708273265,0.491833843269017,0.902641277641278,34,39,5,3,0,0
