"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","id","numero_arvores","variaveis_por_divisao","Acuracia_Media","Sensibilidade_Media","Especificidade_Media","Precisao_Media","F1_Media","MCC_Media","ROC_AUC_Media","Brier_Media","Log_Loss_Media","Acuracia_Balanceada_Media","Posicao","Selecionada"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,"rf_500_arvores_mtry_4",500,4,0.843106995884774,0.783783783783784,0.893763213530655,0.872324262730948,0.821038438685498,0.691121034605419,0.910381311544102,0.123103360428715,0.394699896573184,0.83877349865722,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,"rf_300_arvores_mtry_3",300,3,0.838940329218107,0.774774774774775,0.893763213530655,0.871428571428571,0.815852746287529,0.682646256801202,0.913262099308611,0.122743954181979,0.393522696646112,0.834268994152715,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",1,5,"rf_300_arvores_mtry_4",300,4,0.830761316872428,0.783783783783784,0.871035940803383,0.850699109319799,0.811098325022376,0.666266391913408,0.903381711521246,0.124366255260347,0.398594422698947,0.827409862293583,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,"rf_500_arvores_mtry_4",500,4,0.823045267489712,0.760075865339023,0.878435517970402,0.85042735042735,0.795902427301129,0.651844370476393,0.906972483777869,0.125406227851566,0.397679234119801,0.819255691654712,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,"rf_300_arvores_mtry_3",300,3,0.823045267489712,0.777619724988146,0.862931642001409,0.831623931623932,0.800804388085443,0.647024704575499,0.908201736843108,0.125088782567008,0.396559039395298,0.820275683494778,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,"rf_500_arvores_mtry_3",500,3,0.823045267489712,0.759838786154576,0.878083157152925,0.842826077308836,0.79655401670327,0.646833421552189,0.911886488691874,0.123177620934125,0.392873600455324,0.81896097165375,3,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,1,"rf_300_arvores_mtry_4",300,4,0.818930041152263,0.759838786154576,0.870507399577167,0.83547662259096,0.792830292979547,0.638841892152656,0.90636575153099,0.125971029494724,0.399231904577578,0.815173092865871,4,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,"rf_500_arvores_mtry_3",500,3,0.838888888888889,0.774774774774775,0.893058491895701,0.860107644590403,0.81340805313408,0.677208625434316,0.907295773574843,0.119184448719227,0.385615225582208,0.833916633335238,1,TRUE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,"rf_300_arvores_mtry_3",300,3,0.838837448559671,0.792792792792793,0.877554615926709,0.847855750487329,0.817367046048297,0.677019748211452,0.903400758051921,0.121717262721719,0.389955638653778,0.835173704359751,2,FALSE
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","random_forest",2,2,"rf_300_arvores_mtry_4",300,4,0.838786008230453,0.783783783783784,0.885306553911205,0.853550093872675,0.81632942370251,0.676065779517484,0.901505628249814,0.121964813861526,0.391538740897174,0.834545168847494,3,FALSE
