"Protocolo","Execucao","Base","Algoritmo","Repeticao","Fold_Externo","Fold_Interno","Semente","Configuracao","custo","Acuracia","Sensibilidade","Especificidade","Precisao","F1","MCC","ROC_AUC","Brier","Log_Loss","Acuracia_Balanceada","VP","VN","FP","FN","Precisao_Denominador_Zero","MCC_Denominador_Zero"
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,3,14140103,"svm_custo_0.1",0.1,0.864197530864197,0.891891891891892,0.840909090909091,0.825,0.857142857142857,0.730115081340578,0.915847665847666,0.119451557729611,0.393300660202847,0.866400491400491,33,37,7,4,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,1,14140201,"svm_custo_1",1,0.827160493827161,0.756756756756757,0.886363636363636,0.848484848484849,0.8,0.651991438290565,0.888206388206388,0.139196222935708,0.435525209902075,0.821560196560197,28,39,5,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,2,14140202,"svm_custo_1",1,0.753086419753086,0.684210526315789,0.813953488372093,0.764705882352941,0.722222222222222,0.503744121700338,0.830477356181151,0.171495616460904,0.507352983158546,0.749082007343941,26,35,8,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,3,14140203,"svm_custo_1",1,0.864197530864197,0.864864864864865,0.863636363636364,0.842105263157895,0.853333333333333,0.72716248085508,0.92997542997543,0.109289832136726,0.357133555916135,0.864250614250614,32,38,6,5,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,1,14140301,"svm_custo_10",10,0.777777777777778,0.675675675675676,0.863636363636364,0.806451612903226,0.735294117647059,0.552715274374096,0.868550368550369,0.153177181445496,0.471860189632699,0.76965601965602,25,38,6,12,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,2,14140302,"svm_custo_10",10,0.740740740740741,0.657894736842105,0.813953488372093,0.757575757575758,0.704225352112676,0.479237466205684,0.802937576499388,0.183046157428573,0.542284925317774,0.735924112607099,25,35,8,13,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,4,3,14140303,"svm_custo_10",10,0.851851851851852,0.783783783783784,0.909090909090909,0.878787878787879,0.828571428571429,0.702432036668345,0.938574938574939,0.111387285949699,0.375017808502729,0.846437346437346,29,40,4,8,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,1,14150101,"svm_custo_0.1",0.1,0.864197530864197,0.837837837837838,0.886363636363636,0.861111111111111,0.849315068493151,0.725987423828911,0.916461916461916,0.116527469139061,0.366029925549403,0.862100737100737,31,39,5,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,2,14150102,"svm_custo_0.1",0.1,0.875,0.756756756756757,0.976744186046512,0.96551724137931,0.848484848484849,0.760767023468354,0.949717159019485,0.105245430375295,0.337641018605176,0.866750471401634,28,42,1,9,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,3,14150103,"svm_custo_0.1",0.1,0.802469135802469,0.837837837837838,0.772727272727273,0.75609756097561,0.794871794871795,0.608327234578822,0.891891891891892,0.140928097140657,0.442567297787876,0.805282555282555,31,34,10,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,1,14150201,"svm_custo_1",1,0.864197530864197,0.837837837837838,0.886363636363636,0.861111111111111,0.849315068493151,0.725987423828911,0.925061425061425,0.109212344324497,0.350583923399015,0.862100737100737,31,39,5,6,0,0
"cleveland_ncv_5x3_inner3_v1","cleveland_ncv_5x3_inner3_v1","Cleveland","svm",1,5,2,14150202,"svm_custo_1",1,0.875,0.72972972972973,1,1,0.84375,0.769444523707683,0.936517913262099,0.112116699499961,0.360978747004718,0.864864864864865,27,43,0,10,0,0
